"","UTC","TOL_25","TOL_31.5","TOL_40","TOL_50","TOL_63","TOL_80","TOL_100","TOL_125","TOL_160","TOL_200","TOL_250","TOL_315","TOL_400","TOL_500","TOL_630","TOL_800","TOL_1000","TOL_1250","TOL_1600","TOL_2000","TOL_2500","TOL_3150","TOL_4000","TOL_5000","TOL_6300","TOL_8000","TOL_10000","TOL_12500","TOL_16000","TOL_20000","site","yr","mth","Latitude","Longitude","Season","seasonYr","windU","windV","precRate","matchLong","matchLat","matchTime","windMag","Day"
"1488",2019-01-16 16:00:00,77.446873,78.004921,79.532668,81.115716,81.558037,80.904833,78.73777,78.478471,78.805798,79.452198,79.952566,80.429081,81.274693,81.912099,82.346484,82.456802,82.276116,81.653252,81.246361,80.803191,80.706656,81.439031,81.422228,79.925968,79.838482,79.273432,78.73227,78.433059,77.94065,77.828895,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",-1.17795658111572,5.03915405273438,6.00000021222513e-06,238,36.75,2019-01-16 13:30:00,5.17500292504102,2019-01-16
"1489",2019-01-16 17:00:00,77.961493,78.543069,80.808112,82.808251,82.17661,81.909083,80.172834,79.486237,79.50599,80.207265,80.468813,80.66723,81.418495,81.949205,82.366065,82.471292,82.289988,81.654638,81.314172,81.046816,80.933195,81.723444,81.817592,80.374157,80.423805,79.909898,79.398201,79.103894,78.730755,78.954727,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-16
"1490",2019-01-16 18:00:00,78.129702,78.651563,80.137147,81.707752,81.951007,81.335267,79.858866,79.57916,79.881688,80.859548,81.773965,82.540329,83.533618,84.404613,84.976735,85.244543,85.120636,84.571608,84.368328,83.994651,83.969099,84.618479,84.405685,82.765402,82.976317,82.44991,81.888885,81.547565,80.907884,80.441716,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-16
"1491",2019-01-16 19:00:00,78.629073,79.081256,80.454026,81.94546,81.824514,81.669413,80.773089,80.712156,80.948765,81.554628,82.24424,82.89276,83.640411,84.315933,84.751393,84.801835,84.591414,83.933876,83.486082,82.930047,82.778735,83.350722,83.116069,81.422889,81.517687,81.05468,80.60416,80.484132,79.901823,79.441809,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-16
"1492",2019-01-16 20:00:00,78.893692,79.414439,80.532975,81.852208,81.991243,81.69907,81.098156,81.274016,81.483838,82.121401,82.739673,83.220267,83.615433,83.977504,84.17237,83.99305,83.592478,82.815923,82.192435,81.513928,81.235067,81.767127,81.514685,79.787437,79.680068,79.104748,78.574459,78.336124,77.871747,77.53209,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",-3.89766120910645,10.8663110733032,0.000330000009853393,238,36.75,2019-01-16 19:30:00,11.5441967777219,2019-01-16
"1493",2019-01-16 21:00:00,79.907283,80.878256,82.498652,83.864728,83.951577,84.252239,84.237152,84.403745,84.769569,85.975515,87.016396,87.74361,88.561116,89.287404,89.730512,89.875211,89.828342,89.374011,89.25908,88.862569,88.907584,89.566873,89.35439,87.490047,87.623182,86.94604,86.243939,85.807633,85.22923,84.597854,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",-3.89766120910645,10.8663110733032,0.000330000009853393,238,36.75,2019-01-16 19:30:00,11.5441967777219,2019-01-16
"1494",2019-01-16 22:00:00,81.767668,83.248763,84.914089,86.533825,86.631418,87.317091,87.274242,87.584066,88.215914,89.675939,90.900951,91.417584,92.266718,93.164825,93.723854,94.061309,94.161068,93.874776,93.931682,93.738459,94.06334,94.885811,94.838157,92.807542,92.505444,91.236202,89.84508,88.468346,86.438704,84.632549,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",-3.89766120910645,10.8663110733032,0.000330000009853393,238,36.75,2019-01-16 19:30:00,11.5441967777219,2019-01-16
"1495",2019-01-16 23:00:00,82.621571,83.919034,85.702827,87.157431,87.13266,87.687614,87.663914,87.929923,88.636555,90.008472,91.262478,91.792536,92.583486,93.291281,93.759739,93.952829,93.998708,93.712403,93.756104,93.544275,93.751753,94.518557,94.339555,92.236964,91.836735,90.537785,89.277591,88.200958,86.496632,84.86092,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-16
"1496",2019-01-17,82.651372,84.185525,85.732842,87.054122,87.184572,87.712937,87.658399,87.987491,88.843525,90.27201,91.622747,92.206193,92.969052,93.56256,93.897236,94.085327,94.096544,93.781025,93.823255,93.593922,93.857568,94.595364,94.430334,92.317047,91.847869,90.496855,89.186181,88.061216,86.315328,84.623865,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-17
"1497",2019-01-17 01:00:00,82.678459,84.060124,85.472684,86.930681,87.086171,87.600137,87.612338,88.048197,89.251453,91.441498,92.505207,93.233741,93.587716,93.606849,93.58817,93.283393,92.857748,92.143914,92.331552,92.478773,93.20205,94.187336,94.108046,91.982849,91.513389,90.198777,88.89919,87.734157,86.002783,84.377379,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-17
